#time:                     54000
#                   A                   Q                Qnum
              CS138           21.872565           24.183857           24.183935
              CS139           21.877055           24.189927           24.190007
              CS140           21.881409           24.196219             24.1963
              CS141           21.885927           24.202726           24.202795
              CS142           21.890863           24.209452           24.209527
              CS143           21.895706           24.216398           24.216464
              CS144           21.900879            24.22356           24.223629
              CS145           21.906033           24.230938              24.231
              CS146           21.911458           24.238529           24.238591
              CS147           21.916916           24.246331           24.246389
              CS148           21.922604           24.254341           24.254397
              CS149            21.92837            24.26256           24.262616
              CS150           21.933866           24.270972           24.271029
              CS151           21.939506           24.279565           24.279606
              CS152           21.945646           24.288344           24.288392
              CS153           21.951578           24.297307           24.297343
              CS154           21.957885           24.306447           24.306486
              CS155           21.964086           24.315762           24.315792
              CS156           21.970578           24.325245           24.325275
              CS157           21.977037           24.334893           24.334918
              CS158           21.983731           24.344701           24.344721
              CS159           21.990454           24.354664           24.354686
              CS160           21.996733           24.364766           24.364787
              CS161           22.003124           24.374989           24.374992
              CS162           22.010102           24.385338           24.385348
              CS163           22.016727           24.395807           24.395804
              CS164            22.02377            24.40639           24.406389
              CS165           22.030596            24.41708           24.417069
              CS166           22.037728            24.42787           24.427858
              CS167           22.044741           24.438753           24.438736
              CS168           22.051987           24.449725           24.449703
              CS169           22.059195           24.460778           24.460757
              CS170           22.065762           24.471892           24.471871
              CS171           22.072396           24.483048           24.483007
              CS172           22.079704           24.494251           24.494218
              CS173            22.08649           24.505495           24.505447
              CS174           22.093728           24.516769           24.516724
              CS175           22.100618           24.528069           24.528014
              CS176           22.107812           24.539385           24.539329
              CS177            22.11478           24.550711            24.55065
              CS178           22.121952           24.562039           24.561974
              CS179           22.128991           24.573365           24.573302
              CS180           22.135154           24.584667           24.584603
              CS181           22.141298           24.595926           24.595843
              CS182           22.148147           24.607147           24.607072
              CS183           22.154238           24.618325           24.618236
              CS184           22.160725            24.62945           24.629365
              CS185           22.166629           24.640518           24.640424
              CS186           22.172691           24.651521           24.651426
              CS187           22.178251           24.662455           24.662361
              CS188           22.183752           24.673315           24.673206
              CS189           22.188765           24.684096           24.684017
              CS190           22.192284           24.694786           24.694655
              CS191           22.195359           24.705368           24.705331
              CS192           22.198326           24.715852           24.715609
              CS193           22.200074           24.726246           24.726407
              CS194           22.200257           24.736527            24.73594
              CS195           22.199532           24.746725           24.744076
              CS196           22.197425            24.75687           24.751626
              CS197           22.193615           24.766956           24.758594
              CS198           22.187811           24.776997           24.765127
              CS199           22.168991           24.787001            24.72026
              CS200           22.237861           24.797017           24.923303
#end
