row  column  layer  Kx  Ky  Kz junk  
1  1  1    2.29691090e-003 2.29691090e-003 2.29691090e-003 0.00000000e+000
1  2  1    4.37207840e-003 4.37207840e-003 4.37207840e-003 0.00000000e+000
1  3  1    4.36706600e-003 4.36706600e-003 4.36706600e-003 0.00000000e+000
1  4  1    4.54043810e-003 4.54043810e-003 4.54043810e-003 0.00000000e+000
1  5  1    2.68089430e-003 2.68089430e-003 2.68089430e-003 0.00000000e+000
1  6  1    3.58993630e-003 3.58993630e-003 3.58993630e-003 0.00000000e+000
1  7  1    4.56364910e-003 4.56364910e-003 4.56364910e-003 0.00000000e+000
1  8  1    3.83872680e-003 3.83872680e-003 3.83872680e-003 0.00000000e+000
1  9  1    8.70246350e-004 8.70246350e-004 8.70246350e-004 0.00000000e+000
1  10  1    8.01347610e-004 8.01347610e-004 8.01347610e-004 0.00000000e+000
1  11  1    8.88916090e-004 8.88916090e-004 8.88916090e-004 0.00000000e+000
1  12  1    9.61016370e-004 9.61016370e-004 9.61016370e-004 0.00000000e+000
1  13  1    3.33263090e-004 3.33263090e-004 3.33263090e-004 0.00000000e+000
1  14  1    1.08524080e-004 1.08524080e-004 1.08524080e-004 0.00000000e+000
1  15  1    1.70308120e-004 1.70308120e-004 1.70308120e-004 0.00000000e+000
1  16  1    1.58789210e-004 1.58789210e-004 1.58789210e-004 0.00000000e+000
1  17  1    1.39169210e-004 1.39169210e-004 1.39169210e-004 0.00000000e+000
1  18  1    1.21498890e-004 1.21498890e-004 1.21498890e-004 0.00000000e+000
1  19  1    6.81268540e-004 6.81268540e-004 6.81268540e-004 0.00000000e+000
1  20  1    4.86754900e-004 4.86754900e-004 4.86754900e-004 0.00000000e+000
1  21  1    9.18293670e-004 9.18293670e-004 9.18293670e-004 0.00000000e+000
2  1  1    2.76333980e-003 2.76333980e-003 2.76333980e-003 0.00000000e+000
2  2  1    2.83547870e-003 2.83547870e-003 2.83547870e-003 0.00000000e+000
2  3  1    2.72435680e-003 2.72435680e-003 2.72435680e-003 0.00000000e+000
2  4  1    2.65598430e-003 2.65598430e-003 2.65598430e-003 0.00000000e+000
2  5  1    1.42169200e-003 1.42169200e-003 1.42169200e-003 0.00000000e+000
2  6  1    5.69073560e-003 5.69073560e-003 5.69073560e-003 0.00000000e+000
2  7  1    3.99331610e-003 3.99331610e-003 3.99331610e-003 0.00000000e+000
2  8  1    2.33499960e-003 2.33499960e-003 2.33499960e-003 0.00000000e+000
2  9  1    9.78023610e-004 9.78023610e-004 9.78023610e-004 0.00000000e+000
2  10  1    3.64135900e-004 3.64135900e-004 3.64135900e-004 0.00000000e+000
2  11  1    1.19009780e-003 1.19009780e-003 1.19009780e-003 0.00000000e+000
2  12  1    8.90978000e-004 8.90978000e-004 8.90978000e-004 0.00000000e+000
2  13  1    3.24454530e-004 3.24454530e-004 3.24454530e-004 0.00000000e+000
2  14  1    1.57440960e-004 1.57440960e-004 1.57440960e-004 0.00000000e+000
2  15  1    1.33351680e-004 1.33351680e-004 1.33351680e-004 0.00000000e+000
2  16  1    1.59737220e-004 1.59737220e-004 1.59737220e-004 0.00000000e+000
2  17  1    7.38165120e-005 7.38165120e-005 7.38165120e-005 0.00000000e+000
2  18  1    1.42237760e-004 1.42237760e-004 1.42237760e-004 0.00000000e+000
2  19  1    2.33948240e-004 2.33948240e-004 2.33948240e-004 0.00000000e+000
2  20  1    4.62892020e-004 4.62892020e-004 4.62892020e-004 0.00000000e+000
2  21  1    1.96653470e-003 1.96653470e-003 1.96653470e-003 0.00000000e+000
3  1  1    1.53503830e-003 1.53503830e-003 1.53503830e-003 0.00000000e+000
3  2  1    2.93701350e-003 2.93701350e-003 2.93701350e-003 0.00000000e+000
3  3  1    2.26834340e-003 2.26834340e-003 2.26834340e-003 0.00000000e+000
3  4  1    3.76188060e-003 3.76188060e-003 3.76188060e-003 0.00000000e+000
3  5  1    1.35942920e-003 1.35942920e-003 1.35942920e-003 0.00000000e+000
3  6  1    5.68166230e-003 5.68166230e-003 5.68166230e-003 0.00000000e+000
3  7  1    2.02712630e-003 2.02712630e-003 2.02712630e-003 0.00000000e+000
3  8  1    6.41119400e-004 6.41119400e-004 6.41119400e-004 0.00000000e+000
3  9  1    5.36331150e-004 5.36331150e-004 5.36331150e-004 0.00000000e+000
