# CS200
#        time      discharge[m3/s]
           10         25.00000044
          300         24.99999998
          600         24.99999996
          900         24.99999996
         1200         24.99999996
         1500         24.99999997
         1800         24.99999999
         2100                  25
         2400         24.99999999
         2700         24.99999998
         3000         24.99999997
         3300         24.99999995
         3600         24.99999993
         3900         24.99999991
         4200         24.99999988
         4500         24.99999975
         4800         24.99999844
         5100         24.99999012
         5400         24.99995325
         5700         24.99982805
         6000         24.99948168
         6300         24.99866225
         6600          24.9969758
         6900         24.99393433
         7200          24.9890912
         7500         24.98230429
         7800         24.97429877
         8100         24.96790533
         8400         24.96929772
         8700          24.9876139
         9000         25.03684438
         9300         25.13823004
         9600         25.32667227
         9900         25.64900956
        10200         26.16871759
        10500         26.97093563
        10800         28.18012637
        11100         29.98736118
        11400         32.55528458
        11700         36.07130067
        12000         40.65792904
        12300         46.34505302
        12600         53.02173572
        12900         60.48039676
        13200         68.45585099
        13500         76.67600515
        13800         84.87795185
        14100         92.86954574
        14400         100.4643278
        14700          107.548172
        15000         114.0455308
        15300         119.8926724
        15600         125.0896581
        15900         129.6188471
        16200         133.4967036
        16500         136.7519757
        16800          139.409983
        17100         141.5191047
        17400         143.1088975
        17700         144.2137565
        18000         144.8776076
        18300          145.141003
        18600         145.0462214
        18900         144.6271212
        19200         143.9069695
        19500         142.9125093
        19800         141.6727461
        20100         140.2162721
        20400         138.5777993
        20700         136.8146821
        21000         134.9082927
        21300         132.8770064
        21600         130.7862254
        21900          128.615467
        22200         126.3592762
        22500         124.0853447
        22800          121.752589
        23100         119.3709607
        23400         116.9881175
        23700         114.5542666
        24000         112.1315006
        24300         109.6950391
        24600         107.2515723
        24900         104.8400486
        25200         102.4178473
        25500         100.0648056
        25800         97.71591395
        26100         95.42351685
        26400         93.16901654
        26700         90.94938767
        27000         88.79382163
        27300         86.65400998
        27600         84.59435544
        27900         82.55364868
        28200         80.55680322
        28500         78.60651226
        28800         76.66973875
        29100         74.80799086
        29400         72.96127259
        29700         71.16021038
        30000         69.40803927
        30300         67.67620529
        30600         66.02468455
        30900         64.40237634
        31200         62.82352729
        31500         61.31501459
        31800         59.83917152
        32100         58.41836354
        32400         57.05742054
        32700         55.72849071
        33000         54.45082738
        33300         53.22656959
        33600         52.02872884
        33900          50.8653012
        34200         49.75809455
        34500         48.66939574
        34800         47.60059473
        35100          46.5824705
        35400         45.58680676
        35700         44.60817669
        36000         43.65270362
        36300         42.74672734
        36600         41.85516129
        36900         40.98319807
        37200         40.14048912
        37500         39.34350231
        37800         38.56401821
        38100          37.8065783
        38400         37.07361169
        38700          36.3898325
        39000         35.72555783
        39300         35.08044626
        39600         34.45655088
        39900         33.85601037
        40200         33.29603722
        40500         32.74980913
        40800          32.2181076
        41100         31.70256992
        41400          31.2048567
        41700         30.73089925
        42000         30.28668081
        42300         29.85465984
        42600         29.43783805
        42900           29.038654
        43200         28.65933978
        43500          28.3018791
        43800         27.96951541
        44100         27.66961998
        44400         27.38818104
        44700         27.12585049
        45000         26.88351758
        45300         26.66167612
        45600         26.46044092
        45900         26.27955893
        46200         26.11849893
        46500         25.97633462
        46800         25.85184132
        47100         25.74369724
        47400         25.65032261
        47700         25.56996383
        48000         25.50100016
        48300         25.44159132
        48600         25.39014943
        48900         25.34482018
        49200         25.30415887
        49500         25.26688471
        49800         25.23207055
        50100         25.19916008
        50400         25.16828129
        50700         25.13844787
        51000         25.11007663
        51300         25.08368446
        51600         25.05991132
        51900         25.03944043
        52200         25.02303358
        52500         25.01147653
        52800         25.00559779
        53100          25.0057103
        53400         25.01180563
        53700         25.02386125
        54000         25.04179853
