BEGIN parameter_data TABLE  
 nrow=4200 ncol=8 columnlabels 
ParamName StartValue    GroupName   BetaAssoc  SenMethod  x1               x2               x3 
P0001	5.00E-04	layer_uno	1	1	1.000E+00	7.500E-01	3.600E+01
P0002	5.00E-04	layer_uno	1	1	3.000E+00	7.500E-01	3.600E+01
P0003	5.00E-04	layer_uno	1	1	5.000E+00	7.500E-01	3.600E+01
P0004	5.00E-04	layer_uno	1	1	7.000E+00	7.500E-01	3.600E+01
P0005	5.00E-04	layer_uno	1	1	9.000E+00	7.500E-01	3.600E+01
P0006	5.00E-04	layer_uno	1	1	1.100E+01	7.500E-01	3.600E+01
P0007	5.00E-04	layer_uno	1	1	1.300E+01	7.500E-01	3.600E+01
P0008	5.00E-04	layer_uno	1	1	1.500E+01	7.500E-01	3.600E+01
P0009	5.00E-04	layer_uno	1	1	1.700E+01	7.500E-01	3.600E+01
P0010	5.00E-04	layer_uno	1	1	1.900E+01	7.500E-01	3.600E+01
P0011	5.00E-04	layer_uno	1	1	2.100E+01	7.500E-01	3.600E+01
P0012	5.00E-04	layer_uno	1	1	2.300E+01	7.500E-01	3.600E+01
P0013	5.00E-04	layer_uno	1	1	2.500E+01	7.500E-01	3.600E+01
P0014	5.00E-04	layer_uno	1	1	2.700E+01	7.500E-01	3.600E+01
P0015	5.00E-04	layer_uno	1	1	2.900E+01	7.500E-01	3.600E+01
P0016	5.00E-04	layer_uno	1	1	3.100E+01	7.500E-01	3.600E+01
P0017	5.00E-04	layer_uno	1	1	3.300E+01	7.500E-01	3.600E+01
P0018	5.00E-04	layer_uno	1	1	3.500E+01	7.500E-01	3.600E+01
P0019	5.00E-04	layer_uno	1	1	3.700E+01	7.500E-01	3.600E+01
P0020	5.00E-04	layer_uno	1	1	3.900E+01	7.500E-01	3.600E+01
P0021	5.00E-04	layer_uno	1	1	4.100E+01	7.500E-01	3.600E+01
P0022	5.00E-04	layer_uno	1	1	4.300E+01	7.500E-01	3.600E+01
P0023	5.00E-04	layer_uno	1	1	4.500E+01	7.500E-01	3.600E+01
P0024	5.00E-04	layer_uno	1	1	4.700E+01	7.500E-01	3.600E+01
P0025	5.00E-04	layer_uno	1	1	4.900E+01	7.500E-01	3.600E+01
P0026	5.00E-04	layer_uno	1	1	5.100E+01	7.500E-01	3.600E+01
P0027	5.00E-04	layer_uno	1	1	5.300E+01	7.500E-01	3.600E+01
P0028	5.00E-04	layer_uno	1	1	5.500E+01	7.500E-01	3.600E+01
P0029	5.00E-04	layer_uno	1	1	5.700E+01	7.500E-01	3.600E+01
P0030	5.00E-04	layer_uno	1	1	5.900E+01	7.500E-01	3.600E+01
P0031	5.00E-04	layer_uno	1	1	6.100E+01	7.500E-01	3.600E+01
P0032	5.00E-04	layer_uno	1	1	6.300E+01	7.500E-01	3.600E+01
P0033	5.00E-04	layer_uno	1	1	6.500E+01	7.500E-01	3.600E+01
P0034	5.00E-04	layer_uno	1	1	6.700E+01	7.500E-01	3.600E+01
P0035	5.00E-04	layer_uno	1	1	6.900E+01	7.500E-01	3.600E+01
P0036	5.00E-04	layer_uno	1	1	1.000E+00	2.250E+00	3.600E+01
P0037	5.00E-04	layer_uno	1	1	3.000E+00	2.250E+00	3.600E+01
P0038	5.00E-04	layer_uno	1	1	5.000E+00	2.250E+00	3.600E+01
P0039	5.00E-04	layer_uno	1	1	7.000E+00	2.250E+00	3.600E+01
P0040	5.00E-04	layer_uno	1	1	9.000E+00	2.250E+00	3.600E+01
P0041	5.00E-04	layer_uno	1	1	1.100E+01	2.250E+00	3.600E+01
P0042	5.00E-04	layer_uno	1	1	1.300E+01	2.250E+00	3.600E+01
P0043	5.00E-04	layer_uno	1	1	1.500E+01	2.250E+00	3.600E+01
P0044	5.00E-04	layer_uno	1	1	1.700E+01	2.250E+00	3.600E+01
P0045	5.00E-04	layer_uno	1	1	1.900E+01	2.250E+00	3.600E+01
P0046	5.00E-04	layer_uno	1	1	2.100E+01	2.250E+00	3.600E+01
P0047	5.00E-04	layer_uno	1	1	2.300E+01	2.250E+00	3.600E+01
P0048	5.00E-04	layer_uno	1	1	2.500E+01	2.250E+00	3.600E+01
P0049	5.00E-04	layer_uno	1	1	2.700E+01	2.250E+00	3.600E+01
P0050	5.00E-04	layer_uno	1	1	2.900E+01	2.250E+00	3.600E+01
P0051	5.00E-04	layer_uno	1	1	3.100E+01	2.250E+00	3.600E+01
P0052	5.00E-04	layer_uno	1	1	3.300E+01	2.250E+00	3.600E+01
P0053	5.00E-04	layer_uno	1	1	3.500E+01	2.250E+00	3.600E+01
P0054	5.00E-04	layer_uno	1	1	3.700E+01	2.250E+00	3.600E+01
P0055	5.00E-04	layer_uno	1	1	3.900E+01	2.250E+00	3.600E+01
P0056	5.00E-04	layer_uno	1	1	4.100E+01	2.250E+00	3.600E+01
P0057	5.00E-04	layer_uno	1	1	4.300E+01	2.250E+00	3.600E+01
P0058	5.00E-04	layer_uno	1	1	4.500E+01	2.250E+00	3.600E+01
P0059	5.00E-04	layer_uno	1	1	4.700E+01	2.250E+00	3.600E+01
P0060	5.00E-04	layer_uno	1	1	4.900E+01	2.250E+00	3.600E+01
P0061	5.00E-04	layer_uno	1	1	5.100E+01	2.250E+00	3.600E+01
P0062	5.00E-04	layer_uno	1	1	5.300E+01	2.250E+00	3.600E+01
P0063	5.00E-04	layer_uno	1	1	5.500E+01	2.250E+00	3.600E+01
P0064	5.00E-04	layer_uno	1	1	5.700E+01	2.250E+00	3.600E+01
